Group number,Group,Cases
1,boro_bronx,747
2,boro_brook,912
3,boro_manhattan,1496
4,boro_queens,616
5,boro_statenisland,49
6,boro_unk,2
7,age_0_17_yr,5
8,age_18_24_yr,263
9,age_25_34_yr,1561
10,age_35_44_yr,1291
11,age_45_54_yr,513
12,age_55_64_yr,168
13,age_65_74_yr,20
14,age_75_84_yr,1
15,age_85_plus_yr,0
16,age_unk,0
17,gender_men,3584
18,gender_ncnb,53
19,gender_tgm,7
20,gender_tgw,67
21,gender_women,102
22,gender_unkn,9
23,re_asian,136
24,re_black,1051
25,re_hispanic,1328
26,re_white,857
27,re_oth,64
28,re_missing,386
29,sxor_lgbq,2444
30,sxor_straight,317
31,sxor_Unkn,1061
32,total_rpt,3822
